time=2025-10-09 16:06:10 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=2 | total_price=4906.98 | product_id=1 | products=Rexing Link Kablosuz CarPlay Adaptör | ref_url=http://localhost:3000/product/cosmos-yildiz-yagmuru | order_id=sipariş oluşmadı
time=2025-10-09 16:06:34 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=2571.99 | product_id=1 | products=Rexing Link Kablosuz CarPlay Adaptör | ref_url=http://127.0.0.1:3000/product/cosmos-yildiz-yagmuru | order_id=19370
time=2025-10-16 12:12:08 | name=test | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://127.0.0.1:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:12:16 | name=test | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://127.0.0.1:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:12:39 | name=test | phone=05555555555 | address=rest | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:15:04 | name=test | phone=05555555555 | address=rest | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:15:09 | name=test | phone=05555555555 | address=rest | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:15:33 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:15 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:17 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:20 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:40 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:43 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:16:58 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=sipariş oluşmadı
time=2025-10-16 12:20:40 | name=bedirhan damar | phone=05555555555 | address=yunus emre mahallesi | quantity=1 | total_price=499 | product_id=9 | products=3D Kum Sanatı | ref_url=http://localhost:3000/product/kum-sanati | order_id=22955
time=2025-10-16 12:33:53 | name=test | phone=05555555555 | address=asd | quantity=1 | total_price=999 | product_id=4 | products=Cosmos Yıldız Yağmuru | ref_url=http://127.0.0.1:3000/product/cosmos-yildiz-yagmuru | order_id=sipariş oluşmadı
time=2025-10-16 12:34:15 | name=test | phone=05555555555 | address=asdsad | quantity=1 | total_price=999 | product_id=4 | products=Cosmos Yıldız Yağmuru | ref_url=http://localhost:3000/product/cosmos-yildiz-yagmuru | order_id=22957
